graph,n_vars,p_conf,sim,n_confounders,query,query_is_cf,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
sachs.bif,11,0.025,3,1,"Y={'PIP3', 'Mek', 'Jnk', 'P38', 'Raf'}, X={'Plcg'}; Y={'PIP3', 'Jnk'}, X={'PKC', 'Plcg'}",True,1,1,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.025,4,2,"Y={'Jnk'}, X={'PKC'}; Y={'PKA', 'P38', 'Jnk'}, X={'PKC'}",True,0,0,50,0,0.0,50,0,1.0,46,4
sachs.bif,11,0.025,5,1,"Y={'P38'}, X={'PKC'}; Y={'Plcg', 'Mek', 'P38'}, X={'PKC', 'PKA'}",True,1,1,50,0,0.0,43,7,0.86,43,0
sachs.bif,11,0.025,6,1,"Y={'Mek', 'Jnk', 'Erk'}, X={'PKC', 'Raf', 'PKA'}; Y={'P38', 'Erk'}, X={'PKC', 'Mek'}",True,1,1,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.025,7,2,"Y={'PKA'}, X={'PKC'}; Y={'PIP3', 'Mek', 'Akt', 'PKA', 'Raf'}, X={'PKC', 'Plcg', 'Erk'}",True,1,1,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.025,8,4,"Y={'PKC', 'PIP3', 'PKA', 'P38', 'Raf'}, X={'Plcg'}; Y={'PKC', 'PIP3', 'Raf', 'Jnk'}, X={'Plcg'}",True,3,4,50,0,0.0,40,10,0.8,40,0
sachs.bif,11,0.025,9,0,"Y={'Raf'}, X={'PKC', 'PKA'}; Y={'PKC', 'Raf', 'PIP2'}, X={'PIP3', 'Plcg', 'PKA'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.035,0,0,"Y={'PKC', 'Mek', 'Akt', 'P38', 'PIP2'}, X={'PIP3', 'Raf'}; Y={'PIP2', 'Jnk'}, X={'PKC', 'PIP3', 'Plcg', 'PKA'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.035,1,2,"Y={'Raf', 'PIP2', 'PKA', 'Erk'}, X={'PKC', 'PIP3', 'Plcg', 'Mek'}; Y={'PIP3', 'Raf', 'P38', 'Jnk'}, X={'PKC', 'Plcg', 'PKA'}",True,2,2,50,0,0.0,48,2,0.96,48,0
sachs.bif,11,0.035,2,0,"Y={'PKC', 'Erk'}, X={'PKA'}; Y={'Akt', 'Erk'}, X={'PKA'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.035,3,1,"Y={'PKA'}, X={'PKC'}; Y={'PIP3', 'Plcg', 'PKA', 'Erk'}, X={'PKC', 'Raf'}",True,1,1,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.035,4,4,"Y={'Akt', 'PIP3', 'Erk', 'PKA'}, X={'Plcg', 'PKC', 'Raf', 'Mek'}; Y={'PIP3', 'Mek', 'PIP2', 'Akt'}, X={'PKC', 'Raf'}",True,4,4,50,0,0.0,27,23,0.54,27,0
sachs.bif,11,0.035,5,1,"Y={'Akt', 'PIP2', 'P38'}, X={'PKC', 'PIP3', 'Plcg', 'Mek', 'PKA'}; Y={'PKA', 'PIP3', 'Plcg', 'Akt'}, X={'PKC', 'Raf', 'Mek'}",True,1,1,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.035,6,3,"Y={'PIP3', 'Mek', 'PKA', 'P38', 'Raf'}, X={'PKC', 'Plcg'}; Y={'Akt', 'PIP3', 'Mek', 'PKA'}, X={'Plcg', 'Erk'}",True,3,3,50,0,0.0,47,3,0.94,47,0
sachs.bif,11,0.035,7,1,"Y={'P38'}, X={'PKA'}; Y={'P38'}, X={'PKC', 'PKA'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.035,8,1,"Y={'PIP3', 'PIP2', 'P38'}, X={'PKC', 'Plcg', 'PKA'}; Y={'P38'}, X={'PKC', 'PKA'}",True,1,1,50,0,0.0,43,7,0.86,43,0
sachs.bif,11,0.035,9,5,"Y={'PKA'}, X={'PKC'}; Y={'Raf', 'Plcg', 'PIP2', 'PKA'}, X={'PKC', 'PIP3'}",True,2,4,50,0,0.0,28,22,0.56,28,0
alarm.bif,37,0.005,0,1,"Y={'ERRCAUTER', 'VENTMACH', 'PULMEMBOLUS'}, X={'MINVOLSET'}; Y={'VENTMACH'}, X={'MINVOLSET'}",True,0,0,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.005,1,4,"Y={'FIO2', 'STROKEVOLUME', 'BP', 'VENTTUBE'}, X={'MINVOLSET'}; Y={'EXPCO2', 'STROKEVOLUME', 'BP', 'LVEDVOLUME'}, X={'MINVOLSET', 'INSUFFANESTH', 'HYPOVOLEMIA', 'KINKEDTUBE'}",True,4,4,50,0,0.0,50,0,1.0,50,0
alarm.bif,37,0.005,2,2,"Y={'SAO2', 'PVSAT', 'TPR'}, X={'FIO2'}; Y={'STROKEVOLUME', 'PVSAT'}, X={'FIO2', 'KINKEDTUBE'}",True,2,2,50,0,0.0,50,0,1.0,50,0
