graph,n_vars,u_v_ratio,sim,n_confounders,n_districts,query,query_is_cf,min_intervention_outcome_dist,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
alarm.bif,37,0.35135135135135137,1,13,24,"Y={'VENTALV', 'ERRLOWOUTPUT', 'MINVOLSET', 'INTUBATION'}, X={'KINKEDTUBE', 'VENTTUBE', 'DISCONNECT'}",False,2,1,2,30,30,1.0,8,22,0.26666666666666666,0,8
alarm.bif,37,0.4864864864864865,2,18,19,"Y={'HISTORY'}, X={'LVFAILURE'}",False,1,2,7,30,30,1.0,2,28,0.06666666666666667,0,2
alarm.bif,37,0.8378378378378378,3,31,9,"Y={'EXPCO2'}, X={'VENTMACH'}; Y={'EXPCO2', 'SHUNT', 'HREKG', 'HR', 'PCWP'}, X={'PVSAT', 'VENTMACH', 'ANAPHYLAXIS', 'KINKEDTUBE', 'FIO2'}",True,2,24,31,30,30,1.0,0,30,0.0,0,0
alarm.bif,37,0.8918918918918919,4,33,8,"Y={'ANAPHYLAXIS', 'LVEDVOLUME', 'ERRLOWOUTPUT'}, X={'HYPOVOLEMIA', 'LVFAILURE'}",False,1,5,33,30,30,1.0,1,29,0.03333333333333333,0,1
barley.bif,48,0.125,0,6,42,"Y={'aar_mod', 'sorttkv', 'ksort', 'sort'}, X={'tkvs', 'pesticid', 'frspdag'}",False,3,6,6,30,30,1.0,1,29,0.03333333333333333,0,1
barley.bif,48,0.6666666666666666,1,32,19,"Y={'antplnt', 'tkv', 'keraks', 'srtsize'}, X={'dgv1059', 'aar_mod', 'jordinf'}; Y={'jordinf', 'keraks', 'dg25', 'nmin'}, X={'aar_mod'}",True,1,27,32,30,30,1.0,1,29,0.03333333333333333,0,1
barley.bif,48,0.4583333333333333,2,22,27,"Y={'aks_m2', 'nprot'}, X={'pesticid', 'sort'}",False,2,22,22,30,30,1.0,0,30,0.0,0,0
barley.bif,48,0.5416666666666666,3,26,22,"Y={'tkv', 'keraks', 'markgrm', 'ksort'}, X={'saakern', 'forfrugt'}; Y={'jordn', 'dg25', 'mod_nmin', 'ksort'}, X={'jordinf', 'partigerm', 'frspdag', 'forfrugt'}",True,2,26,26,30,30,1.0,1,29,0.03333333333333333,0,1
barley.bif,48,0.2708333333333333,4,13,35,"Y={'protein'}, X={'dgv1059', 'srtprot', 'tkvs', 'aks_m2'}",False,1,12,13,30,30,1.0,1,29,0.03333333333333333,0,1
child.bif,20,0.15,0,3,17,"Y={'DuctFlow', 'Age', 'HypDistrib', 'LowerBodyO2'}, X={'BirthAsphyxia', 'LungParench', 'CardiacMixing'}",False,1,3,3,30,30,1.0,1,29,0.03333333333333333,0,1
child.bif,20,0.1,1,2,18,"Y={'CardiacMixing'}, X={'BirthAsphyxia', 'Disease'}",False,1,1,1,30,30,1.0,7,23,0.23333333333333334,0,7
child.bif,20,0.8,2,16,6,"Y={'HypDistrib'}, X={'DuctFlow', 'BirthAsphyxia'}",False,1,4,16,30,30,1.0,0,30,0.0,0,0
child.bif,20,0.45,3,9,11,"Y={'HypDistrib', 'LVHreport'}, X={'BirthAsphyxia', 'Disease', 'CardiacMixing', 'LVH'}; Y={'HypDistrib'}, X={'BirthAsphyxia', 'Disease', 'CardiacMixing'}",True,1,3,9,30,30,1.0,2,28,0.06666666666666667,0,2
child.bif,20,0.95,4,19,4,"Y={'LungFlow', 'Sick', 'RUQO2', 'LowerBodyO2', 'CardiacMixing'}, X={'HypoxiaInO2', 'LungParench', 'HypDistrib', 'Disease'}",False,1,8,18,30,30,1.0,0,30,0.0,0,0
insurance.bif,27,0.7777777777777778,0,21,9,"Y={'SocioEcon', 'Mileage', 'OtherCar', 'AntiTheft'}, X={'Age', 'RiskAversion'}",False,1,5,18,30,30,1.0,0,30,0.0,0,0
insurance.bif,27,0.48148148148148145,1,13,14,"Y={'DrivQuality', 'RiskAversion', 'AntiTheft'}, X={'DrivingSkill', 'Age', 'SeniorTrain'}",False,1,3,7,30,30,1.0,0,30,0.0,0,0
insurance.bif,27,0.5555555555555556,2,15,13,"Y={'OtherCar', 'ThisCarDam', 'AntiTheft'}, X={'RuggedAuto', 'DrivingSkill', 'MakeModel'}; Y={'ThisCarDam'}, X={'DrivingSkill'}",True,1,13,15,30,30,1.0,0,30,0.0,0,0
insurance.bif,27,0.14814814814814814,3,4,23,"Y={'GoodStudent', 'MakeModel', 'HomeBase'}, X={'SocioEcon'}",False,1,3,3,30,30,1.0,1,29,0.03333333333333333,0,1
insurance.bif,27,0.37037037037037035,4,10,17,"Y={'Antilock', 'HomeBase'}, X={'Age', 'VehicleYear'}",False,1,1,1,30,30,1.0,4,26,0.13333333333333333,0,4
mildew.bif,35,0.11428571428571428,0,4,31,"Y={'meldug_4', 'dm_3', 'straaling_1', 'middel_2'}, X={'nedboer_1', 'lai_1', 'dm_2'}",False,1,4,4,30,30,1.0,2,28,0.06666666666666667,0,2
mildew.bif,35,0.8857142857142857,1,31,9,"Y={'nedboer_2', 'foto_3', 'udbytte', 'dm_1', 'temp_2'}, X={'meldug_4', 'dm_3', 'lai_4', 'lai_3', 'foto_2'}; Y={'nedboer_2', 'nedboer_1', 'foto_4', 'dm_1', 'temp_4'}, X={'lai_4'}",True,1,26,30,30,30,1.0,0,30,0.0,0,0
mildew.bif,35,0.5714285714285714,2,20,15,"Y={'nedboer_3', 'mikro_3'}, X={'meldug_3', 'lai_0', 'temp_3', 'middel_2'}; Y={'nedboer_3', 'meldug_3', 'lai_3', 'meldug_1', 'mikro_3'}, X={'temp_1', 'lai_0'}",True,1,15,19,30,30,1.0,0,30,0.0,0,0
mildew.bif,35,0.17142857142857143,3,6,29,"Y={'dm_1', 'dm_2'}, X={'foto_1', 'lai_0', 'straaling_2'}",False,1,2,5,30,30,1.0,3,27,0.1,0,3
